url,name,price,image,rate
https://www.amazon.com/AMD-Ryzen-3900X-24-Thread-Processor/dp/B07SXMZLP9/ref=sr_1_32?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-32,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",429.99,https://m.media-amazon.com/images/I/71S31CWSs3L._AC_UY218_.jpg,4.9
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B01N5UOYC4,"Logitech BRIO Ultra HD Webcam for Video Conferencing, Recording, and Streaming - Black",164.94,https://m.media-amazon.com/images/I/61yuDpKZnLL._AC_UY218_.jpg,4.3
https://www.amazon.com/gcx/-/gfhz/events/?ref=aoy&categoryId=off-to-college&pinnedAsins=B01N5UOYC4,"Logitech BRIO Ultra HD Webcam for Video Conferencing, Recording, and Streaming - Black",,https://m.media-amazon.com/images/I/61yuDpKZnLL._AC_UY218_.jpg,4.3
https://www.amazon.com/Dell-Screen-LED-Lit-Monitor-P2419H/dp/B07F8XZN69/ref=sr_1_34?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-34,"Dell P2419H 24 Inch LED-Backlit, Anti-Glare, 3H Hard Coating IPS Monitor - (8 ms Response, FHD 1920 x 1080 at 60Hz, 1000:1 Contrast, with ComfortView DisplayPort, VGA, HDMI and USB), Black",164.94,https://m.media-amazon.com/images/I/91ddm+P-VCL._AC_UY218_.jpg,4.6
https://www.amazon.com/TP-Link-PCMag-Editors-Choice-Extender/dp/B010S6SG3S/ref=sr_1_35?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-35,"TP-Link AC1750 Wifi Extender, PCMag Editor's Choice, Up to 1750Mbps, Dual Band Wifi Range Extender, Internet Booster, Access Point, Extend Wifi Signal to Smart Home & Alexa Devices (RE450)",68.88,https://m.media-amazon.com/images/I/71SOvAX4SnL._AC_UY218_.jpg,3.9
https://www.amazon.com/Brother-Genuine-TN660-Yield-Cartridge/dp/B00LJO8EQS/ref=sr_1_36?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-36,"Brother Genuine High Yield Toner Cartridge, TN660, Replacement Black Toner, Page Yield Up To 2,600 Pages, Amazon Dash Replenishment Cartridge",55.48,https://m.media-amazon.com/images/I/71uG6aXAs-L._AC_UY218_.jpg,4.6
https://www.amazon.com/Sceptre-Curved-Monitor-Speakers-C248W-1920RN/dp/B07KXSR99Y/ref=sr_1_37?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-37,"Sceptre 24"" Curved 75Hz Gaming LED Monitor Full HD 1080P HDMI VGA Speakers, VESA Wall Mount Ready Metal Black 2019 (C248W-1920RN)",129.99,https://m.media-amazon.com/images/I/81mHL0psH-L._AC_UY218_.jpg,4.5
https://www.amazon.com/GE-Outlet-Protector-Extension-14092/dp/B00DOMYL24/ref=sr_1_38?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-38,"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, White, 14092",12.02,https://m.media-amazon.com/images/I/71m+hUvYRoL._AC_UY218_.jpg,4.8
https://www.amazon.com/Samsung-970-EVO-1TB-MZ-V7E1T0BW/dp/B07BN217QG/ref=sr_1_39?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-39,"Samsung (MZ-V7E1T0BW) 970 EVO SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology, Black/Red",169.98,https://m.media-amazon.com/images/I/81wXcfYl6-L._AC_UY218_.jpg,4.8
https://www.amazon.com/AMD-Processor-Wraith-Stealth-Cooler/dp/B07B41WS48/ref=sr_1_40?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-40,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,138.95,https://m.media-amazon.com/images/I/81fbUyjzEmL._AC_UY218_.jpg,4.8
https://www.amazon.com/LG-34WN80C-B-inch-Connectivity-Compatibility/dp/B07YGZ7C1K/ref=sr_1_41?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-41,"LG 34WN80C-B 34 inch 21:9 Curved UltraWide WQHD IPS Monitor with USB Type-C Connectivity sRGB 99% Color Gamut and HDR10 Compatibility, Black (2019)",505.5,https://m.media-amazon.com/images/I/81WBbFOEHwL._AC_UY218_.jpg,4.6
https://www.amazon.com/Acer-Predator-i7-10750H-Dual-Channel-PH315-53-72XD/dp/B08842D7JS/ref=sr_1_42?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-42,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, WiFi 6, RGB Keyboard, PH315-53-72XD",1199.99,https://m.media-amazon.com/images/I/71k45hZkLmL._AC_UY218_.jpg,4.6
https://www.amazon.com/AOC-C24G1-Frameless-DisplayPort-Adjustable/dp/B07GD7H18F/ref=sr_1_43?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-43,"AOC C24G1 24"" Curved Frameless Gaming Monitor, FHD 1080p, 1500R VA panel, 1ms 144Hz, FreeSync, Height adjustable, VESA, 3-Year Zero Dead Pixels",144.99,https://m.media-amazon.com/images/I/61esFAz1EPL._AC_UY218_.jpg,4.6
https://www.amazon.com/Brother-DCP-L2550DW-HL-L2350DW-MFC-L2710-Replacement/dp/B075X6C5ZW/ref=sr_1_44?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-44,Brother Genuine Cartridge TN760 High Yield Black Toner,76.98,https://m.media-amazon.com/images/I/71Oc-6pmGSL._AC_UY218_.jpg,4.6
https://www.amazon.com/New-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNJGMH6/ref=sr_1_45?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-45,"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model) – Platinum with Black Type Cover",,https://m.media-amazon.com/images/I/714cHoaDUpL._AC_UY218_.jpg,4.3
https://www.amazon.com/APC-Battery-Protector-BackUPS-BX1500M/dp/B06VY6FXMM/ref=sr_1_46?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-46,"APC UPS, 1500VA UPS Battery Backup & Surge Protector, BX1500M Backup Battery, AVR, Dataline Protection and LCD Display, Back-UPS Pro Uninterruptible Power Supply",164.99,https://m.media-amazon.com/images/I/81lgJ++wufL._AC_UY218_.jpg,4.6
https://www.amazon.com/Sabrent-4-Port-Individual-Switches-HB-UM43/dp/B00JX1ZS5O/ref=sr_1_47?dchild=1&qid=1596357401&s=computers-intl-ship&sr=1-47,Sabrent 4-Port USB 3.0 Hub with Individual LED Power Switches | 2 Ft Cable | Slim & Portable | for Mac & PC (HB-UM43),9.99,https://m.media-amazon.com/images/I/71BKoNxuAuL._AC_UY218_.jpg,4.5
